age,income,region,visits,target
22,32000,north,2,no
25,35500,south,4,no
27,41000,east,3,no
29,43800,west,5,no
31,47000,north,6,no
33,51500,south,8,yes
35,54000,east,7,yes
37,57500,west,9,yes
39,61000,north,10,yes
41,63500,south,11,yes
43,66000,east,8,yes
45,69000,west,12,yes
24,34000,east,2,no
26,38000,west,3,no
28,42500,north,4,no
30,45500,south,5,no
32,49500,east,6,no
34,52500,west,7,yes
36,56000,north,8,yes
38,59000,south,9,yes
40,62000,east,10,yes
42,65000,west,11,yes
44,68000,north,12,yes
46,72000,south,13,yes
23,33000,west,1,no
27,39500,north,3,no
30,44500,east,5,no
35,55000,south,7,yes
40,62500,west,10,yes
47,74500,east,14,yes

