size,rooms,age,neighborhood,price
42,1,28,north,138000
48,1,24,south,152000
55,2,20,east,178000
61,2,18,west,193000
67,2,15,north,215000
73,3,14,south,236000
79,3,12,east,259000
85,3,10,west,278000
92,3,9,north,302000
98,4,8,south,326000
105,4,7,east,351000
112,4,6,west,376000
118,4,5,north,398000
125,5,4,south,427000
132,5,3,east,456000
45,1,30,west,142000
52,2,22,north,169000
58,2,19,south,184000
64,2,17,east,205000
70,3,16,west,226000
76,3,13,north,247000
82,3,11,south,267000
89,3,10,east,291000
95,4,9,west,315000
102,4,8,north,339000
109,4,7,south,363000
115,4,6,east,386000
122,5,5,west,416000
129,5,4,north,444000
136,5,2,south,472000

